"fad_id","section","fad_class","id_point","time","geom","lon","lat"
16,1,"W",469984,2008-10-01 21:00:00,"POINT(4.3555 -5.47767)",4.3555,-5.47767
16,1,"W",469984,2008-10-01 21:00:00,"POINT(4.3555 -5.47767)",4.3555,-5.47767
16,1,"W",461017,2008-10-06 21:00:00,"POINT(4.1605 -5.74917)",4.1605,-5.74917
16,1,"W",461017,2008-10-06 21:00:00,"POINT(4.1605 -5.74917)",4.1605,-5.74917
16,1,"W",461017,2008-10-06 21:00:00,"POINT(4.1605 -5.74917)",4.1605,-5.74917
16,2,"W",149482,2008-12-28 21:00:00,"POINT(3.9435 -6.80267)",3.9435,-6.80267
16,2,"W",149482,2008-12-28 21:00:00,"POINT(3.9435 -6.80267)",3.9435,-6.80267
16,2,"W",149482,2008-12-28 21:00:00,"POINT(3.9435 -6.80267)",3.9435,-6.80267
16,1,"W",458191,2008-09-29 21:00:00,"POINT(4.27183 -5.72017)",4.27183,-5.72017
16,1,"W",458191,2008-09-29 21:00:00,"POINT(4.27183 -5.72017)",4.27183,-5.72017
16,1,"W",458191,2008-09-29 21:00:00,"POINT(4.27183 -5.72017)",4.27183,-5.72017
16,1,"W",454713,2008-09-19 21:00:00,"POINT(4.34883 -5.40183)",4.34883,-5.40183
16,1,"W",454713,2008-09-19 21:00:00,"POINT(4.34883 -5.40183)",4.34883,-5.40183
16,1,"W",454713,2008-09-19 21:00:00,"POINT(4.34883 -5.40183)",4.34883,-5.40183
16,1,"W",462952,2008-10-08 21:00:00,"POINT(4.34167 -5.69917)",4.34167,-5.69917
16,1,"W",462952,2008-10-08 21:00:00,"POINT(4.34167 -5.69917)",4.34167,-5.69917
16,1,"W",462952,2008-10-08 21:00:00,"POINT(4.34167 -5.69917)",4.34167,-5.69917
16,1,"W",483593,2008-10-02 21:00:00,"POINT(4.22433 -5.53167)",4.22433,-5.53167
16,1,"W",483593,2008-10-02 21:00:00,"POINT(4.22433 -5.53167)",4.22433,-5.53167
16,1,"W",483593,2008-10-02 21:00:00,"POINT(4.22433 -5.53167)",4.22433,-5.53167
16,1,"W",454714,2008-09-10 21:00:00,"POINT(4.94583 -4.88133)",4.94583,-4.88133
16,1,"W",480550,2008-09-16 21:00:00,"POINT(4.604 -5.19083)",4.604,-5.19083
16,1,"W",454714,2008-09-10 21:00:00,"POINT(4.94583 -4.88133)",4.94583,-4.88133
16,1,"W",480550,2008-09-16 21:00:00,"POINT(4.604 -5.19083)",4.604,-5.19083
16,1,"W",454714,2008-09-10 21:00:00,"POINT(4.94583 -4.88133)",4.94583,-4.88133
16,1,"W",480550,2008-09-16 21:00:00,"POINT(4.604 -5.19083)",4.604,-5.19083
16,2,"W",85887,2009-01-04 21:00:00,"POINT(3.22133 -6.47917)",3.22133,-6.47917
16,2,"W",85887,2009-01-04 21:00:00,"POINT(3.22133 -6.47917)",3.22133,-6.47917
16,2,"W",85887,2009-01-04 21:00:00,"POINT(3.22133 -6.47917)",3.22133,-6.47917
16,1,"W",152134,2008-11-24 21:00:00,"POINT(4.91017 -5.2875)",4.91017,-5.2875
16,1,"W",152134,2008-11-24 21:00:00,"POINT(4.91017 -5.2875)",4.91017,-5.2875
16,1,"W",152134,2008-11-24 21:00:00,"POINT(4.91017 -5.2875)",4.91017,-5.2875
16,2,"W",86248,2009-01-02 21:00:00,"POINT(3.51583 -6.5055)",3.51583,-6.5055
16,2,"W",86248,2009-01-02 21:00:00,"POINT(3.51583 -6.5055)",3.51583,-6.5055
16,2,"W",86248,2009-01-02 21:00:00,"POINT(3.51583 -6.5055)",3.51583,-6.5055
16,1,"W",482544,2008-09-24 21:00:00,"POINT(4.331 -5.47)",4.331,-5.47
16,1,"W",482544,2008-09-24 21:00:00,"POINT(4.331 -5.47)",4.331,-5.47
16,1,"W",482544,2008-09-24 21:00:00,"POINT(4.331 -5.47)",4.331,-5.47
16,1,"W",153051,2008-11-16 21:00:00,"POINT(4.82967 -5.90767)",4.82967,-5.90767
16,1,"W",153051,2008-11-16 21:00:00,"POINT(4.82967 -5.90767)",4.82967,-5.90767
16,1,"W",153051,2008-11-16 21:00:00,"POINT(4.82967 -5.90767)",4.82967,-5.90767
16,1,"W",473828,2008-09-21 21:00:00,"POINT(4.2925 -5.54933)",4.2925,-5.54933
16,1,"W",473828,2008-09-21 21:00:00,"POINT(4.2925 -5.54933)",4.2925,-5.54933
16,1,"W",473828,2008-09-21 21:00:00,"POINT(4.2925 -5.54933)",4.2925,-5.54933
16,1,"W",152867,2008-11-19 21:00:00,"POINT(4.8255 -5.71)",4.8255,-5.71
16,1,"W",152867,2008-11-19 21:00:00,"POINT(4.8255 -5.71)",4.8255,-5.71
16,1,"W",152867,2008-11-19 21:00:00,"POINT(4.8255 -5.71)",4.8255,-5.71
16,1,"W",471229,2008-09-30 21:00:00,"POINT(4.394 -5.6625)",4.394,-5.6625
16,2,"W",85241,2009-01-03 21:00:00,"POINT(3.33833 -6.495)",3.33833,-6.495
16,1,"W",471229,2008-09-30 21:00:00,"POINT(4.394 -5.6625)",4.394,-5.6625
16,2,"W",85241,2009-01-03 21:00:00,"POINT(3.33833 -6.495)",3.33833,-6.495
16,1,"W",471229,2008-09-30 21:00:00,"POINT(4.394 -5.6625)",4.394,-5.6625
16,2,"W",85241,2009-01-03 21:00:00,"POINT(3.33833 -6.495)",3.33833,-6.495
16,1,"W",458295,2008-09-23 21:00:00,"POINT(4.43717 -5.46133)",4.43717,-5.46133
16,1,"W",458295,2008-09-23 21:00:00,"POINT(4.43717 -5.46133)",4.43717,-5.46133
16,1,"W",458295,2008-09-23 21:00:00,"POINT(4.43717 -5.46133)",4.43717,-5.46133
